,clause,class
0,"Verizon Media EMEA Privacy Policy
",worth_reading
1,"Expand all
",worth_reading
2,"Version 2.0, Last updated: July 2020 (Previous Privacy Policy here).  
",worth_reading
3,"About this Privacy Policy
",worth_reading
4,"This Privacy Policy is intended to help you understand who we are, how we collect and use your data, how we share it, your choices about how your data is used and shared, and your rights under the privacy laws that apply to you.
",worth_reading
5,"Who we are
",worth_reading
6,"Verizon Media EMEA Limited (“Verizon Media”, “we”, “us” or “our”) is a media and technology company that runs two different types of businesses: 
",worth_reading
7,"    First, we offer a collection of Products. ‘Products’ are the collection of our owned and operated sites and apps, including our Yahoo offerings and AOL. These brands provide content, commerce and mail services to hundreds of millions of users. We are able to offer you most of our Products for free thanks to our digital advertising services.
",standard_trivial
8,"    Second, we offer digital advertising ‘Services’ that help advertisers reach the users that are likely to be more interested in their products, help us and our publishers generate revenue by selling advertising space on sites and apps to advertisers, and help users see ads that are relevant to their interests. Our Services do this by selecting, placing and measuring relevant ads to users as they visit different sites and apps.
",standard_trivial
9,"Visit How Digital Advertising Works to learn more about how this process works. Visit our Affiliates page for more information about our affiliated companies and how we work with them.
",worth_reading
10,"We are a company established under the laws of Ireland and located in 5-7 Point Square, North Wall Quay, Dublin 1, Ireland. Verizon Media acts as data controller of the personal data we collect when you use our Products and Services.
",worth_reading
11,"Who is covered by this Privacy Policy
",worth_reading
12,"This Privacy Policy applies to you:
",worth_reading
13,"    when you use the Products and Services that we provide from the EMEA region
",worth_reading
14,"    if you are a registered user or visitor to our Products, or when you interact with our Services
",worth_reading
15,"    when you use our business-to-business products, but our Verizon Media B2B Privacy Policy also applies to more specific uses of your Enterprise Account data
",worth_reading
16,"    if you are a user of HuffPost UK, Sky | Yahoo Mail or BT | Yahoo Mail. However, Verizon Media EMEA Limited only controls the data that we collect from our Services in these products. Other entities control all other data from these products. HuffPost UK, Sky | Yahoo Mail or BT | Yahoo Mail users can find more information by clicking here.
",standard_trivial
17,"Cookies
",worth_reading
18,"We use cookies and other technologies when you visit our Products and also when you use third-party websites and apps that use our Services. You can learn more about how we use cookies and similar technologies in our Cookie Policy.
",standard_trivial
19,"What data does Verizon Media collect about you?
",worth_reading
